compound,auid,aurl,aurl_http,spacegroup_relax,Pearson_symbol_relax,species
C4,aflow:00ecd25494ac4070,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/HEX/C1_ICSD_290661/C1_ICSD_290661.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/HEX/C1_ICSD_290661,194.0,hP4,['C']
C1,aflow:008378e9c03d806e,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRe_pv/59/59.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRe_pv/59,229.0,cI2,['C']
C2,aflow:0083848fcbaeacda,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/BrC/A7.B/A7.B.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/BrC/A7.B,227.0,cF8,['C']
C4,aflow:00089e3f869d1ba2,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Be_svC/318/318.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Be_svC/318,67.0,oS4,['C']
C1,aflow:0089c00247e8a525,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTi_sv/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTi_sv/2,225.0,cF4,['C']
C2,aflow:00c01aabac5a8beb,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCr_pv/h1/h1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCr_pv/h1,194.0,hP2,['C']
C1,aflow:010569d10a8f35b0,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Be_svC/58/58.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Be_svC/58,229.0,cI2,['C']
C2,aflow:019c026ac21f756d,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CW_pv/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CW_pv/305,227.0,cF8,['C']
C1,aflow:0101a9a4e78da935,https://aflowlib.duke.edu/01Apr2000/A1/A1.cif,https://aflowlib.duke.edu/01Apr2000/A1,225.0,cF4,['C']
C3,aflow:01882129010c911e,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CLi_sv/323/323.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CLi_sv/323,191.0,hP1,['C']
C2,aflow:0182e5d1fc1969af,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCs_sv/A7.A/A7.A.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCs_sv/A7.A,227.0,cF8,['C']
C1,aflow:0172c6b95fcaced1,https://aflowlib.duke.edu/05Jan2001/A1/A1.cif,https://aflowlib.duke.edu/05Jan2001/A1,225.0,cF4,['C']
C2,aflow:0167c0d2bf64513b,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCo/117/117.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCo/117,194.0,hP2,['C']
C3,aflow:02975f411dce947f,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CV_sv/323/323.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CV_sv/323,191.0,hP1,['C']
C2,aflow:03e351195fd59354,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CZr_sv/301/301.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CZr_sv/301,227.0,cF8,['C']
C1,aflow:04df7c155b368833,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTe/303/303.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTe/303,139.0,tI2,['C']
C4,aflow:04a356271b267c40,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/B_hC/318/318.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/B_hC/318,67.0,oS4,['C']
C2,aflow:05e48e9577c5c9d5,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCs_sv/301/301.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCs_sv/301,227.0,cF8,['C']
C2,aflow:05a0edf7c17f4673,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/FCC/C1_ICSD_28863/C1_ICSD_28863.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/FCC/C1_ICSD_28863,227.0,cF8,['C']
C3,aflow:068d46bf1d4c480b,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMo_pv/323/323.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMo_pv/323,191.0,hP1,['C']
C3,aflow:060e5fd7d7f2fe1f,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CP/323/323.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CP/323,191.0,hP1,['C']
C4,aflow:078de1234954c29b,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CPd_pv/317/317.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CPd_pv/317,67.0,oS4,['C']
C2,aflow:071c58f473b356c5,https://aflowlib.duke.edu/01Apr2000/A4/A4.cif,https://aflowlib.duke.edu/01Apr2000/A4,227.0,cF8,['C']
C2,aflow:07850aaa1b00c119,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CLi_sv/A7.A/A7.A.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CLi_sv/A7.A,227.0,cF8,['C']
C1,aflow:07912143370b9e2f,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTl_d/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTl_d/2,225.0,cF4,['C']
C1,aflow:074ab42d6e738f18,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/CUB/C1_ICSD_181081/C1_ICSD_181081.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/CUB/C1_ICSD_181081,221.0,cP1,['C']
C1,aflow:08181e65fb443449,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSe/f1/f1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSe/f1,225.0,cF4,['C']
C2,aflow:0901bf31a32afe64,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCr_pv/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCr_pv/305,227.0,cF8,['C']
C1,aflow:0a4d25367c10b231,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CLi_sv/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CLi_sv/2,225.0,cF4,['C']
C2,aflow:0a8df010d2d19792,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTi_sv/117/117.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTi_sv/117,194.0,hP2,['C']
C2,aflow:0a2e9fa086821253,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/BrC/115/115.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/BrC/115,194.0,hP2,['C']
C2,aflow:0a575bcf46c579d5,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSn/117/117.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSn/117,194.0,hP2,['C']
C1,aflow:0a6dedb6c4e869ce,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CP/59/59.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CP/59,229.0,cI2,['C']
C60,aflow:0aff24bb6e42f150,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/FCC/C60_ICSD_74523/C60_ICSD_74523.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/FCC/C60_ICSD_74523,202.0,cF240,['C']
C2,aflow:0b2323892372dce9,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CV_sv/117/117.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CV_sv/117,194.0,hP2,['C']
C4,aflow:0c5ad7402c2168f2,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRb_sv/317/317.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRb_sv/317,67.0,oS4,['C']
C2,aflow:0c22f43ed5ae7da4,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CY_sv/301/301.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CY_sv/301,227.0,cF8,['C']
C2,aflow:0d9c9ecf3c511c35,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTl_d/117/117.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTl_d/117,194.0,hP2,['C']
C3,aflow:0dd65fc3fcfda83d,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Ba_svC/324/324.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Ba_svC/324,191.0,hP1,['C']
C1,aflow:0ef5ea049823ef5b,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CGa_h/59/59.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CGa_h/59,229.0,cI2,['C']
C1,aflow:0f28b5d295798330,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRe_pv/f1/f1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRe_pv/f1,225.0,cF4,['C']
C1,aflow:0f5e25abc76ad36f,https://aflowlib.duke.edu/18Jul2000/A2/A2.cif,https://aflowlib.duke.edu/18Jul2000/A2,229.0,cI2,['C']
C12,aflow:0fe5de16edf444e7,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/ORCC/C1_ICSD_28419/C1_ICSD_28419.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/ORCC/C1_ICSD_28419,194.0,hP12,['C']
C4,aflow:1011c4552d04b9d7,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CPb_d/317/317.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CPb_d/317,67.0,oS4,['C']
C2,aflow:10451522a36e09da,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMo_pv/h1/h1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMo_pv/h1,194.0,hP2,['C']
C2,aflow:1033df85b1185580,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTl_d/A7.A/A7.A.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTl_d/A7.A,227.0,cF8,['C']
C2,aflow:10044852e61f066d,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRe_pv/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CRe_pv/305,227.0,cF8,['C']
C1,aflow:1030695e0cce772d,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTc_pv/f1/f1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTc_pv/f1,225.0,cF4,['C']
C1,aflow:106e743409b42257,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSb/b1/b1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSb/b1,229.0,cI2,['C']
C1,aflow:1099031cb1f054e4,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/AuC/b2/b2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/AuC/b2,229.0,cI2,['C']
C1,aflow:1080ef2ec6693a55,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMn_pv/b1/b1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMn_pv/b1,229.0,cI2,['C']
C2,aflow:118ecab4682a6c22,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNb_sv/A7.A/A7.A.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNb_sv/A7.A,227.0,cF8,['C']
C2,aflow:1101e8c3850ce3ba,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTc_pv/h1/h1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTc_pv/h1,194.0,hP2,['C']
C1,aflow:116d1c7254f08bcd,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTl_d/f1/f1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTl_d/f1,225.0,cF4,['C']
C2,aflow:1287b92c60e0efc9,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTa_pv/A7.A/A7.A.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTa_pv/A7.A,227.0,cF8,['C']
C1,aflow:12043a3cf6219506,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CGa_h/f1/f1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CGa_h/f1,225.0,cF4,['C']
C1,aflow:12823f3367558f1b,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/COs_pv/59/59.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/COs_pv/59,229.0,cI2,['C']
C3,aflow:12944ea7bd22ecb4,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CW_pv/323/323.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CW_pv/323,191.0,hP1,['C']
C1,aflow:12bfe0816310916b,https://aflowlib.duke.edu/08Apr2002/A1/A1.cif,https://aflowlib.duke.edu/08Apr2002/A1,225.0,cF4,['C']
C4,aflow:1216ebc0b546c855,https://aflowlib.duke.edu/04May1998/A9/A9.cif,https://aflowlib.duke.edu/04May1998/A9,194.0,hP4,['C']
C4,aflow:1238f4beaf01ce18,https://aflowlib.duke.edu/06Feb2004/A9/A9.cif,https://aflowlib.duke.edu/06Feb2004/A9,194.0,hP4,['C']
C1,aflow:12dee03968eedadc,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/AgC/304/304.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/AgC/304,139.0,tI2,['C']
C1,aflow:13f9def1f0c9ec48,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMo_pv/b1/b1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMo_pv/b1,229.0,cI2,['C']
C1,aflow:133f3fff80ec0c47,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CPd_pv/f1/f1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CPd_pv/f1,225.0,cF4,['C']
C1,aflow:13ba2ac86c513181,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCr_pv/303/303.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCr_pv/303,139.0,tI2,['C']
C4,aflow:14a94f69c79ffa16,https://aflowlib.duke.edu/08Apr2002/A9/A9.cif,https://aflowlib.duke.edu/08Apr2002/A9,194.0,hP4,['C']
C1,aflow:14287fdd2c4b190a,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTi_sv/303/303.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTi_sv/303,139.0,tI2,['C']
C4,aflow:141839c7e176fe44,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMg_pv/317/317.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMg_pv/317,67.0,oS4,['C']
C4,aflow:144a08faa38dca68,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCs_sv/317/317.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCs_sv/317,67.0,oS4,['C']
C1,aflow:15a934e09f2fbbd6,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSb/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSb/2,225.0,cF4,['C']
C4,aflow:15851ddd3380f5df,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIr/317/317.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIr/317,67.0,oS4,['C']
C3,aflow:156c327ae8aad91b,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSc_sv/323/323.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSc_sv/323,191.0,hP1,['C']
C1,aflow:15a388c85b4b4ec7,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIn_d/59/59.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIn_d/59,229.0,cI2,['C']
C8,aflow:1563bca1781cfa56,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/ORCC/C1_ICSD_88811/C1_ICSD_88811.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/ORCC/C1_ICSD_88811,191.0,hP2,['C']
C1,aflow:15e71f06d1c6b1af,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CI/b1/b1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CI/b1,229.0,cI2,['C']
C2,aflow:16107212a3403a45,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMg_pv/A7.A/A7.A.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMg_pv/A7.A,227.0,cF8,['C']
C2,aflow:169fb7a782bb6714,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMo_pv/A7.A/A7.A.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMo_pv/A7.A,227.0,cF8,['C']
C1,aflow:17944ac9e1c3f92d,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/BrC/304/304.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/BrC/304,139.0,tI2,['C']
C2,aflow:173987a87becef97,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/AsC/306/306.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/AsC/306,227.0,cF8,['C']
C2,aflow:1802c8ce041ad509,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Ba_svC/A7.B/A7.B.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Ba_svC/A7.B,227.0,cF8,['C']
C1,aflow:1867513b2173292a,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CHg/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CHg/2,225.0,cF4,['C']
C1,aflow:1910c5f21804649b,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNb_sv/f1/f1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNb_sv/f1,225.0,cF4,['C']
C2,aflow:193c450dcaf52902,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMo_pv/117/117.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMo_pv/117,194.0,hP2,['C']
C2,aflow:19f0c0a84fc848fe,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CK_sv/h1/h1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CK_sv/h1,194.0,hP2,['C']
C2,aflow:1ace200c7cba45cc,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNi_pv/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNi_pv/305,227.0,cF8,['C']
C3,aflow:1a2e6d54446136fe,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMn_pv/323/323.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMn_pv/323,191.0,hP1,['C']
C2,aflow:1b266ada7a09101f,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Be_svC/h3/h3.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Be_svC/h3,194.0,hP2,['C']
C2,aflow:1b6ae544c6ddfb95,https://aflowlib.duke.edu/06Sep2000/A5/A5.cif,https://aflowlib.duke.edu/06Sep2000/A5,227.0,cF8,['C']
C1,aflow:1b13d3f9f5791240,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSn/f1/f1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSn/f1,225.0,cF4,['C']
C1,aflow:1b638487464231f7,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CGa_h/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CGa_h/2,225.0,cF4,['C']
C1,aflow:1b0951429989357c,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CLi_sv/b1/b1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CLi_sv/b1,229.0,cI2,['C']
C1,aflow:1b43d5c90486f082,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/BrC/1/1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/BrC/1,225.0,cF4,['C']
C2,aflow:1c69d85b141e1b38,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSi/h1/h1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSi/h1,194.0,hP2,['C']
C1,aflow:1c682ea7d8d4faeb,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/AgC/58/58.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/AgC/58,229.0,cI2,['C']
C1,aflow:1c0d7de3a4bd6e48,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCa_sv/59/59.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCa_sv/59,229.0,cI2,['C']
C2,aflow:1dab3c4d7f117176,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/FCC/C1_ICSD_52054/C1_ICSD_52054.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/FCC/C1_ICSD_52054,227.0,cF8,['C']
C2,aflow:1e313ad6d7b09a2c,https://aflowlib.duke.edu/01Apr2000/A3/A3.cif,https://aflowlib.duke.edu/01Apr2000/A3,194.0,hP2,['C']
C2,aflow:1e41ff7af3b3ead4,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CP/A7.A/A7.A.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CP/A7.A,227.0,cF8,['C']
C1,aflow:1f915340b1cb8415,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIn_d/f1/f1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIn_d/f1,225.0,cF4,['C']
C1,aflow:1fb2bb28737778ab,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSb/303/303.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSb/303,139.0,tI2,['C']
C4,aflow:1f6dd0f1624fc2fd,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CZn/317/317.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CZn/317,67.0,oS4,['C']
C3,aflow:20a11d2d0801aba6,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Bi_dC/324/324.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/Bi_dC/324,191.0,hP1,['C']
C3,aflow:20a7c11b75494dc5,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTl_d/323/323.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CTl_d/323,191.0,hP1,['C']
C2,aflow:20602f6a82cfd213,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCo/A7.A/A7.A.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCo/A7.A,227.0,cF8,['C']
C2,aflow:21dd3d4215c3b741,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CP/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CP/305,227.0,cF8,['C']
C1,aflow:219837840f6f2abf,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCo/b1/b1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCo/b1,229.0,cI2,['C']
C1,aflow:21a4858779e8e988,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CP/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CP/2,225.0,cF4,['C']
C2,aflow:21dedcab73c12dee,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIr/117/117.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIr/117,194.0,hP2,['C']
C1,aflow:232b9434945702f6,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCa_sv/303/303.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCa_sv/303,139.0,tI2,['C']
C1,aflow:238f21d796c5f0ec,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CGe_h/f1/f1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CGe_h/f1,225.0,cF4,['C']
C2,aflow:23472880f0d9bdc4,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CHf_pv/117/117.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CHf_pv/117,194.0,hP2,['C']
C2,aflow:23f6e93917e0ea6c,https://aflowlib.duke.edu/31May2000/A4/A4.cif,https://aflowlib.duke.edu/31May2000/A4,227.0,cF8,['C']
C2,aflow:240dcf9796e774d1,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/COs_pv/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/COs_pv/305,227.0,cF8,['C']
C2,aflow:24d74349688de503,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/COs_pv/301/301.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/COs_pv/301,227.0,cF8,['C']
C1,aflow:24c8ebfa3f6e50cf,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSb/59/59.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSb/59,229.0,cI2,['C']
C1,aflow:244350c9e291b1dd,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSr_sv/f1/f1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSr_sv/f1,225.0,cF4,['C']
C1,aflow:257ab42e61c112fd,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CV_sv/b1/b1.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CV_sv/b1,229.0,cI2,['C']
C2,aflow:252df882e12e30d2,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CGa_h/A7.A/A7.A.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CGa_h/A7.A,227.0,cF8,['C']
C2,aflow:252249dee80731e8,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMo_pv/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMo_pv/305,227.0,cF8,['C']
C1,aflow:26a475ee88285010,https://aflowlib.duke.edu/08Apr2002/A2/A2.cif,https://aflowlib.duke.edu/08Apr2002/A2,229.0,cI2,['C']
C2,aflow:26e711be812ebb53,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSe/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CSe/305,227.0,cF8,['C']
